key	status	category	reason	location	title
papadimitriou1994complexity	keep	keep_complexity	Supports explicit complexity/hardness/query/model-selection claim.	docs/papers/paper4_decision_quotient/latex_toc/content/02_formal_foundations.tex:167	Computational Complexity
blum1997selection	keep	keep_complexity	Supports explicit complexity/hardness/query/model-selection claim.	docs/papers/paper4_decision_quotient/latex_toc/content/08_related_work.tex:14	Selection of Relevant Features and Examples in Machine Learning
amaldi1998complexity	keep	keep_complexity	Supports explicit complexity/hardness/query/model-selection claim.	docs/papers/paper4_decision_quotient/latex_toc/content/08_related_work.tex:14	On the Approximability of Some Maximum Spanning Tree Problems
howard1966information	keep	keep_complexity	Supports explicit complexity/hardness/query/model-selection claim.	docs/papers/paper4_decision_quotient/latex_toc/content/08_related_work.tex:32	Information Value Theory
moura2021lean4	keep	keep_formalization	Supports formalization/mechanization prior-art claim in prose.	docs/papers/paper4_decision_quotient/latex_toc/content/01_introduction.tex:95	The Lean 4 Theorem Prover and Programming Language
cook1971complexity	keep	keep_complexity	Supports explicit complexity/hardness/query/model-selection claim.	docs/papers/paper4_decision_quotient/latex_toc/hardness_proofs.tex:63	The Complexity of Theorem-Proving Procedures
karp1972reducibility	keep	keep_complexity	Supports explicit complexity/hardness/query/model-selection claim.	docs/papers/paper4_decision_quotient/latex_toc/hardness_proofs.tex:63	Reducibility Among Combinatorial Problems
stockmeyer1976polynomial	keep	keep_complexity	Supports explicit complexity/hardness/query/model-selection claim.	docs/papers/paper4_decision_quotient/latex_toc/hardness_proofs.tex:186	The Polynomial-Time Hierarchy
impagliazzo2001complexity	keep	keep_complexity	Supports explicit complexity/hardness/query/model-selection claim.	docs/papers/paper4_decision_quotient/latex_toc/content/03_complexity_dichotomy.tex:27	On the Complexity of $k$-SAT
arora2009computational	keep	keep_complexity	Supports explicit complexity/hardness/query/model-selection claim.	docs/papers/paper4_decision_quotient/latex_toc/content/02_formal_foundations.tex:167	Computational Complexity: A Modern Approach
papadimitriou1987mdp	keep	keep_complexity	Supports explicit complexity/hardness/query/model-selection claim.	docs/papers/paper4_decision_quotient/latex_toc/content/08_related_work.tex:18	The Complexity of Markov Decision Processes
mundhenk2000mdp	keep	keep_complexity	Supports explicit complexity/hardness/query/model-selection claim.	docs/papers/paper4_decision_quotient/latex_toc/content/08_related_work.tex:18	The Complexity of Finite-Horizon Markov Decision Process Problems
littman1998probplanning	keep	keep_complexity	Supports explicit complexity/hardness/query/model-selection claim.	docs/papers/paper4_decision_quotient/latex_toc/content/08_related_work.tex:18	The Computational Complexity of Probabilistic Planning
