case_name,mode_name,worker_count,well_count,compile_seconds,prepare_seconds,execute_seconds,total_seconds,wells_per_second,successful_wells,native_single_sample_execution_seconds,projected_native_execution_seconds,projected_execution_speedup,peak_memory_mb,status,memory_limit_mb,error_message,wells_per_worker,peak_gib
ExampleColocalization,4w_4c,4,4,3.125171306077391,0.0,5.440839570015669,8.63031795702409,0.7351806552142982,4,48.93594650994055,195.7437860397622,35.976761218709946,4164.18359375,success,,,1,4.066585540771484
ExampleCometAssay,4w_4c,4,4,0.5968840239802375,0.0,5.168229556060396,5.797372029046528,0.7739594297450467,4,15.649703019065782,62.59881207626313,12.112235224315487,3936.22265625,success,,,1,3.8439674377441406
ExampleFly,4w_4c,4,4,0.6027822700561956,0.0,2.826233082916588,3.4414517810801044,1.415311434919628,4,9.218601097003557,36.87440438801423,13.047191546551762,3750.79296875,success,,,1,3.662883758544922
ExampleFlyURL,4w_4c,4,4,0.3607338949805125,0.0,1.3587808199226856,1.781290395068936,2.943815471451532,4,5.407788787037134,21.631155148148537,15.91953229762203,3557.84375,success,,,1,3.474456787109375
ExampleHuman,4w_4c,4,4,0.3645876740338281,0.0,1.3091208359692246,1.73887411900796,3.05548570467794,4,5.046770330984145,20.18708132393658,15.420334601114812,3346.53125,success,,,1,3.268096923828125
ExampleIlluminationCorrection_Example1_AllMethod,4w_4c,4,4,0.2517677939031273,0.0,0.8136773830046877,1.0849205140257254,4.915953280192078,4,23.845759848016318,95.38303939206526,117.22464134352832,3227.9296875,success,,,1,3.1522750854492188
ExampleIlluminationCorrection_Example1_EachMethod,4w_4c,4,4,0.2374516880372539,0.0,0.6358439120231196,0.89734613802284,6.290852085495092,4,4.95255577005446,19.81022308021784,31.15579579457785,3190.6953125,success,,,1,3.1159133911132812
ExampleIlluminationCorrection_Example2,4w_4c,4,4,0.3306231059832498,0.0,3.1742747629759838,3.5535317769972607,1.2601303600605365,4,49.62061384797562,198.48245539190248,62.52844199467436,3898.703125,success,,,1,3.8073272705078125
ExampleIlluminationCorrection_Example3,4w_4c,4,4,0.335206446936354,0.0,0.7833644059719518,1.1560291700297969,5.106180430852024,4,2.5101164190564305,10.040465676225722,12.817107338146302,3395.00390625,success,,,1,3.3154335021972656
ExampleImagingFlowCytometryObjectsInGrid,4w_4c,4,4,0.6894118000054732,0.0,19.102687153033912,19.84664182900451,0.2093946243246053,4,74.15655832295306,296.62623329181224,15.52798467124044,10398.94921875,success,,,1,10.155223846435547
