         17603381 function calls (16933937 primitive calls) in 69.669 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1420    0.030    0.000   40.876    0.029 __init__.py:1(<module>)
12571/439    0.105    0.000   12.673    0.029 __init__.py:539(as_dict)
       15    0.000    0.000   12.452    0.830 _jit_internal.py:1025(_overload)
   107/82    0.001    0.000   10.142    0.124 dispatch.py:1053(_add_dispatch_for_unary_elementwise_api)
12597/439    0.042    0.000    8.496    0.019 __init__.py:1481(process_iter)
12574/440    0.023    0.000    6.947    0.016 __init__.py:664(name)
      255    0.045    0.000    5.538    0.022 persistent_system_monitor.py:144(_collect_metrics)
        2    0.000    0.000    5.219    2.610 tensor.py:1(<module>)
        1    0.000    0.000    5.216    5.216 builtin.py:1(<module>)
33882/31454    4.676    0.000    4.699    0.000 {method 'read' of '_io.BufferedReader' objects}
      255    0.009    0.000    4.694    0.018 GPUtil.py:68(getGPUs)
      257    0.006    0.000    4.482    0.017 subprocess.py:1165(communicate)
17292/15631    0.257    0.000    4.373    0.000 {built-in method builtins.__build_class__}
  234/213    0.043    0.000    4.015    0.019 dispatch.py:429(decorator)
     8584    0.018    0.000    3.979    0.000 <frozen posixpath>:431(realpath)
       55    0.001    0.000    3.755    0.068 dispatch.py:1090(_add_dispatch_for_binary_elementwise_api)
  388/387    0.001    0.000    3.185    0.008 IceImport.py:17(load)
       60    0.001    0.000    3.159    0.053 dtypes.py:73(__init__)
     11/8    0.000    0.000    3.110    0.389 registry_cache.py:238(deserialize_plugin_class)
        1    0.000    0.000    2.861    2.861 _trace_wrapped_higher_order_op.py:1(<module>)
9081/8984    0.070    0.000    2.374    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        1    0.000    0.000    2.333    2.333 cx5_format.py:1(<module>)
        1    0.000    0.000    2.332    2.332 workbook.py:1(<module>)
     8584    0.169    0.000    2.200    0.000 <frozen posixpath>:440(_joinrealpath)
      433    0.004    0.000    2.167    0.005 unified_registry.py:649(create_library_adapter)
       51    0.000    0.000    2.128    0.042 utils.py:40(optional_import)
      487    0.003    0.000    1.977    0.004 GraphicsView.py:135(paintEvent)
      487    0.114    0.000    1.969    0.004 {function GraphicsView.paintEvent at 0x7fa20b90b560}
     8689    0.016    0.000    1.953    0.000 inspect.py:969(getabsfile)
     9082    0.010    0.000    1.914    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      115    0.001    0.000    1.908    0.017 dispatch.py:1005(register_unary_elementwise_api)
 12806/10    0.054    0.000    1.869    0.187 <frozen importlib._bootstrap>:1349(_find_and_load)
   9124/8    0.043    0.000    1.869    0.234 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
   8765/9    0.031    0.000    1.868    0.208 <frozen importlib._bootstrap>:911(_load_unlocked)
   8244/9    0.022    0.000    1.868    0.208 <frozen importlib._bootstrap_external>:989(exec_module)
 21353/19    0.018    0.000    1.866    0.098 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        9    0.001    0.000    1.811    0.201 functions.py:1(<module>)
       10    0.000    0.000    1.714    0.171 _meta_registrations.py:17(wrapper)
    14479    0.113    0.000    1.688    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
  3843/72    0.011    0.000    1.665    0.023 {built-in method builtins.__import__}
     9082    0.023    0.000    1.605    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
        1    0.000    0.000    1.546    1.546 launch.py:206(load_configuration)
        1    0.000    0.000    1.546    1.546 config_cache.py:224(load_cached_global_config_sync)
        1    0.000    0.000    1.542    1.542 cache_warming.py:89(prewarm_config_analysis_cache)
      710    0.024    0.000    1.483    0.002 inspect.py:1251(getsourcelines)
      641    0.001    0.000    1.466    0.002 inspect.py:1272(getsource)
      542    0.001    0.000    1.464    0.003 __init__.py:1501(add)
8304/7830    0.062    0.000    1.461    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
      835    0.009    0.000    1.423    0.002 inspect.py:1063(findsource)
       29    0.046    0.002    1.403    0.048 process_tracker.py:47(update)
      541    0.007    0.000    1.401    0.003 signature_analyzer.py:65(extract)
       28    0.000    0.000    1.394    0.050 log_viewer.py:2830(update_process_status)
      541    0.007    0.000    1.365    0.003 signature_analyzer.py:114(_parse_docstring_ast)
      125    0.001    0.000    1.341    0.011 library.py:171(_register_fake)
   126/66    0.006    0.000    1.328    0.020 _ops.py:279(py_impl)
        1    0.000    0.000    1.320    1.320 ctx_manager.py:1(<module>)
        1    0.000    0.000    1.315    1.315 triton_kernel_wrap.py:1(<module>)
      433    0.012    0.000    1.281    0.003 unified_registry.py:685(_enhance_annotations_from_docstring)
        1    0.000    0.000    1.203    1.203 triton_kernel_wrap.py:650(__init__)
      543    0.001    0.000    1.168    0.002 __init__.py:316(__init__)
       68    0.002    0.000    1.155    0.017 signature_analyzer.py:577(_analyze_dataclass)
      972    0.004    0.000    1.154    0.001 AxisItem.py:663(paint)
      972    1.139    0.001    1.139    0.001 {built-in method play}
     9674    0.028    0.000    1.131    0.000 inspect.py:944(getsourcefile)
8833/8814    0.013    0.000    1.085    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
        1    0.000    0.000    1.079    1.079 launch.py:236(check_dependencies)
      435    0.003    0.000    1.018    0.002 signature_analyzer.py:339(analyze)
        2    0.000    0.000    0.984    0.492 library.py:821(register)
      433    0.001    0.000    0.950    0.002 unified_registry.py:344(_get_function_by_name)
274878/273272    0.093    0.000    0.938    0.000 {built-in method builtins.hasattr}
     13/8    0.000    0.000    0.917    0.115 _ops.py:147(py_functionalize_impl)
        4    0.000    0.000    0.905    0.226 unified_registry.py:415(_load_or_discover_functions)
  480/465    0.833    0.002    0.898    0.002 {built-in method _imp.create_dynamic}
  480/465    0.001    0.000    0.894    0.002 <frozen importlib._bootstrap_external>:1287(create_module)
      840    0.001    0.000    0.887    0.001 dataclasses.py:1257(wrap)
      255    0.002    0.000    0.886    0.003 persistent_system_monitor.py:34(get_cpu_freq_mhz)
  437/435    0.022    0.000    0.885    0.002 signature_analyzer.py:370(_analyze_callable)
25343/24898    0.036    0.000    0.874    0.000 _common.py:812(bcat)
37586/37555    0.854    0.000    0.869    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      840    0.031    0.000    0.860    0.001 dataclasses.py:921(_process_class)
      255    0.003    0.000    0.857    0.003 __init__.py:1905(cpu_freq)
        1    0.000    0.000    0.853    0.853 _meta_registrations.py:1(<module>)
     8302    0.089    0.000    0.833    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
        1    0.000    0.000    0.782    0.782 plot_image_gallery.py:1(<module>)
       21    0.001    0.000    0.756    0.036 api.py:1(<module>)
25343/24898    0.067    0.000    0.748    0.000 _common.py:795(cat)
     8302    0.736    0.000    0.736    0.000 {built-in method marshal.loads}
      255    0.030    0.000    0.720    0.003 _pslinux.py:691(cpu_freq)
        2    0.000    0.000    0.716    0.358 fixes.py:1(<module>)
       28    0.001    0.000    0.709    0.025 base.py:1(<module>)
20399/2280    0.020    0.000    0.705    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
18439/16462    0.110    0.000    0.700    0.000 inspect.py:2470(_signature_from_callable)
     3372    0.018    0.000    0.656    0.000 dataclasses.py:449(_create_fn)
     1812    0.002    0.000    0.643    0.000 __init__.py:910(<genexpr>)
      972    0.001    0.000    0.630    0.001 debug.py:115(w)
      972    0.012    0.000    0.629    0.001 PlotCurveItem.py:798(paint)
56559/1503    0.071    0.000    0.629    0.000 _pslinux.py:1642(wrapper)
26113/25876    0.247    0.000    0.627    0.000 _common.py:765(open_binary)
      840    0.002    0.000    0.626    0.001 dataclasses.py:1240(dataclass)
151972/196    0.098    0.000    0.588    0.003 ast.py:403(visit)
3161/1115    0.021    0.000    0.587    0.001 {method 'emit' of 'PyQt6.QtCore.pyqtBoundSignal' objects}
151739/193    0.191    0.000    0.587    0.003 ast.py:409(generic_visit)
    12488    0.104    0.000    0.584    0.000 {method 'stat' of 'posix.DirEntry' objects}
    13346    0.009    0.000    0.583    0.000 inspect.py:3308(signature)
        1    0.000    0.000    0.582    0.582 _fully_shard.py:1(<module>)
        2    0.578    0.289    0.578    0.289 {built-in method gc.collect}
    49/19    0.001    0.000    0.570    0.030 parameter_form_service.py:80(analyze_parameters)
    13368    0.010    0.000    0.569    0.000 inspect.py:3050(from_callable)
        8    0.000    0.000    0.569    0.071 functional.py:1(<module>)
        2    0.000    0.000    0.567    0.283 exc.py:1(<module>)
       30    0.000    0.000    0.567    0.019 parameter_form_service.py:458(_analyze_nested_dataclass)
       50    0.000    0.000    0.565    0.011 unified_parameter_analyzer.py:51(analyze)
       49    0.000    0.000    0.563    0.011 unified_parameter_analyzer.py:127(_analyze_dataclass_type)
      255    0.001    0.000    0.559    0.002 system_monitor.py:605(<lambda>)
      255    0.003    0.000    0.553    0.002 system_monitor.py:615(update_display)
     1458    0.526    0.000    0.526    0.000 {built-in method drawPath}
       53    0.009    0.000    0.525    0.010 signature_analyzer.py:661(_extract_inline_field_docs)
      125    0.002    0.000    0.520    0.004 fake_impl.py:19(register)
      255    0.023    0.000    0.516    0.002 system_monitor.py:638(update_pyqtgraph_plots)
        1    0.000    0.000    0.513    0.513 authoring.py:1(<module>)
     9217    0.011    0.000    0.511    0.000 <frozen genericpath>:16(exists)
        4    0.002    0.001    0.510    0.127 unified_registry.py:430(_load_from_cache)
    15108    0.174    0.000    0.504    0.000 inspect.py:2366(_signature_from_function)
35069/33780    0.462    0.000    0.500    0.000 {built-in method _io.open}
        1    0.000    0.000    0.499    0.499 pyplot.py:1(<module>)
        1    0.003    0.003    0.482    0.482 _environment.py:501(_detect_duplicate_installation)
       29    0.001    0.000    0.482    0.017 util.py:1(<module>)
        4    0.000    0.000    0.480    0.120 convert.py:1(<module>)
      479    0.002    0.000    0.471    0.001 __init__.py:436(metadata)
     3214    0.004    0.000    0.461    0.000 inspect.py:1047(visit_ClassDef)
        6    0.000    0.000    0.456    0.076 inductor_prims.py:14(make_prim)
       29    0.002    0.000    0.453    0.016 core.py:1(<module>)
      897    0.075    0.000    0.451    0.001 ast.py:34(parse)
      123    0.001    0.000    0.450    0.004 custom_ops.py:158(__init__)
        1    0.000    0.000    0.450    0.450 saving_api.py:1(<module>)
        1    0.000    0.000    0.449    0.449 legacy_h5_format.py:1(<module>)
      123    0.000    0.000    0.447    0.004 custom_ops.py:559(_register_to_dispatcher)
        2    0.000    0.000    0.445    0.223 saving_utils.py:1(<module>)
      125    0.000    0.000    0.445    0.004 utils.py:44(get_source)
      125    0.001    0.000    0.444    0.004 inspect.py:1677(getframeinfo)
        4    0.000    0.000    0.437    0.109 main.py:1(<module>)
   146546    0.248    0.000    0.433    0.000 <frozen posixpath>:71(join)
        1    0.000    0.000    0.432    0.432 basic_processor_jax.py:1(<module>)
      543    0.001    0.000    0.420    0.001 __init__.py:319(_init)
     2531    0.413    0.000    0.413    0.000 {built-in method builtins.compile}
      2/1    0.000    0.000    0.411    0.411 <frozen runpy>:105(_get_module_details)
32186/30950    0.029    0.000    0.408    0.000 typing.py:392(inner)
12577/482    0.015    0.000    0.406    0.001 _pslinux.py:1766(name)
      479    0.001    0.000    0.403    0.001 __init__.py:31(message_from_string)
      479    0.002    0.000    0.401    0.001 parser.py:56(parsestr)
      479    0.002    0.000    0.399    0.001 parser.py:41(parse)
8306/7847    0.046    0.000    0.398    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
    19504    0.082    0.000    0.393    0.000 <frozen importlib._bootstrap>:304(acquire)
   105747    0.380    0.000    0.386    0.000 {built-in method posix.lstat}
        1    0.000    0.000    0.385    0.385 sklearn_wrapper.py:1(<module>)
     5162    0.020    0.000    0.384    0.000 _pslinux.py:1784(cmdline)
